TechnicalScore,MLScore,ReturnScore,ReliabilityScore,CompositeScore,Signal,Confidence,Symbol,GRU_HOLD,GRU_LONG,GRU_SHORT,GRUScore,HybridMLScore,CompositeScoreV2,SignalV2
32.1,-11.88,9.490884845804551,70,18.17,HOLD,49.46,TECHM.NS,36.91783547401428,31.886902451515198,31.195253133773804,0.691649317741394,-5.594175341129303,21.95492436682212,HOLD
26.3,-0.8500000000000014,15.675785609603215,60,19.4,HOLD,79.95,INDUSINDBK.NS,41.6976273059845,24.513666331768036,33.78870189189911,-9.275035560131073,-5.062517780065537,19.82140178790098,HOLD
18.87,6.629999999999999,20.50377487879052,50,18.64,HOLD,68.51,TATASTEEL.NS,37.10673153400421,27.856379747390747,35.03689169883728,-7.180511951446533,-0.2752559757232671,18.122678183041124,HOLD
10.87,4.219999999999999,6.16864707061863,80,14.85,HOLD,48.94,ETERNAL.NS,36.413055658340454,27.032414078712463,36.55453026294708,-9.52211618423462,-2.65105809211731,16.242911986488533,HOLD
13.74,-1.3299999999999983,20.786739384777228,50,14.25,HOLD,94.61,NESTLEIND.NS,31.02411925792694,33.87629687786102,35.099589824676514,-1.2232929468154907,-1.2766464734077445,16.083353934933122,HOLD
13.08,4.979999999999999,9.675941138029868,60,14.66,HOLD,117.51,LT.NS,37.43956983089447,29.407894611358643,33.15252959728241,-3.744634985923767,0.6176825070381158,15.698492979717408,HOLD
7.98,-10.670000000000002,0.314518360811126,60,6.05,HOLD,86.74,EICHERMOT.NS,33.74466001987457,20.706340670585632,45.548999309539795,-24.842658638954163,-17.756329319477082,6.529004876319101,HOLD
-13.78,-8.819999999999999,0.1961211026746771,50,-3.12,HOLD,96.54,SUNPHARMA.NS,36.24812364578247,29.872751235961914,33.87912213802338,-4.006370902061462,-6.4131854510307305,0.7922685852257167,HOLD
-12.88,-6.6,-7.431283259275667,60,-2.62,HOLD,116.77,SBIN.NS,29.797211289405823,29.926958680152893,40.275838971138,-10.348880290985107,-8.474440145492554,0.4634113044971002,HOLD
-22.04,-1.75,2.1120788825145973,50,-3.92,HOLD,75.65,AXISBANK.NS,37.108781933784485,30.35196363925934,32.53924548625946,-2.187281847000122,-1.968640923500061,-0.3821765005470983,HOLD
-21.06,-9.67,-5.364438471599877,50,-7.4,HOLD,92.29,SHRIRAMFIN.NS,35.54564118385315,31.381505727767944,33.07285010814667,-1.6913443803787231,-5.6806721901893615,-2.6480893513767825,HOLD
-27.07,-6.449999999999999,-4.178160447706987,50,-8.6,HOLD,87.48,DRREDDY.NS,39.734140038490295,26.511386036872864,33.75447392463684,-7.243087887763977,-6.846543943881988,-4.864095272705992,HOLD
-31.8,-3.0500000000000007,-20.090721211611005,60,-11.65,HOLD,79.6,ICICIBANK.NS,35.15254855155945,30.251523852348328,34.59593057632446,-4.344406723976135,-3.697203361988068,-7.25730525091862,HOLD
-37.53,15.700000000000005,-46.0616213094968,70,-12.51,HOLD,46.98,WIPRO.NS,37.74886131286621,31.761696934700012,30.489441752433777,1.2722551822662354,8.486127591133119,-9.301985984559423,HOLD
-37.88,3.2799999999999976,-27.01145440995285,60,-13.57,HOLD,69.11,KOTAKBANK.NS,35.313549637794495,29.592835903167725,35.0936084985733,-5.500772595405579,-1.1103862977027905,-9.993406771301409,HOLD
-32.31,5.479999999999997,-51.23898297595123,70,-14.53,HOLD,55.21,INFY.NS,31.08324110507965,33.81989598274231,35.09686291217804,-1.27696692943573,2.1015165352821334,-10.425841634605607,HOLD
-36.04,-3.66,-29.067238703671045,50,-16.33,HOLD,63.14,ONGC.NS,39.778780937194824,31.661248207092285,28.55997383594513,3.1012743711471558,-0.2793628144264222,-11.011256585062135,HOLD
-41.38,5.080000000000002,-24.03204916249132,50,-14.83,HOLD,82.08,BEL.NS,36.8358850479126,30.307352542877197,32.856765389442444,-2.5494128465652466,1.2652935767173776,-11.409821759483052,HOLD
-46.3,11.66,-38.24336642880655,50,-17.67,HOLD,72.02,NTPC.NS,37.504467368125916,26.919320225715637,35.57620644569397,-8.656886219978333,1.5015568900108338,-15.903206218758058,HOLD
-45.83,-6.030000000000001,-29.68550795716729,50,-21.08,HOLD,99.56,POWERGRID.NS,39.38273787498474,27.697783708572388,32.91948139667511,-5.221697688102722,-5.625848844051362,-16.165356244648862,HOLD
